1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
166	0.063991	142.200000	1.796071	0.012692	76.9
167	0.062589	143.200000	1.785133	0.011857	75.2
168	0.063513	144.200000	1.774327	0.013660	76.2
169	0.062440	145.200000	1.763651	0.012777	73.1
170	0.068756	146.200000	1.753103	0.006565	74.2
171	0.063997	147.200000	1.742680	0.011283	74.4
172	0.064829	148.200000	1.732381	0.020228	77.3
173	0.064778	149.200000	1.722202	0.012449	76.0
174	0.063421	150.200000	1.712143	0.005118	76.3
175	0.067085	149.400000	1.720181	0.004538	75.3
176	0.063757	148.600000	1.728295	0.007334	75.1
177	0.063566	149.600000	1.718164	0.016625	76.9
178	0.065416	150.600000	1.708152	0.012956	74.5
179	0.066361	151.600000	1.698255	0.004118	76.7
180	0.066833	152.600000	1.688472	0.004778	75.6
181	0.064477	151.800000	1.696289	0.006218	74.6
182	0.064893	151.000000	1.704179	0.008318	72.8
183	0.065428	152.000000	1.694328	0.018616	76.8
184	0.066434	153.000000	1.684591	0.013902	74.0
185	0.064948	154.000000	1.674965	0.004836	73.8
186	0.066183	153.200000	1.682657	0.005597	76.1
187	0.063714	152.400000	1.690420	0.006132	75.2
188	0.062576	151.600000	1.698255	0.009093	74.9
189	0.062534	152.600000	1.688472	0.012532	76.0
190	0.060186	153.600000	1.678802	0.019657	73.4
191	0.061369	154.600000	1.669242	0.013207	77.4
192	0.060851	155.600000	1.659789	0.005569	75.9
193	0.061762	154.800000	1.667343	0.007624	73.7
194	0.057592	155.800000	1.657912	0.013981	71.4
195	0.059846	156.800000	1.648587	0.024465	74.2
196	0.061688	157.800000	1.639367	0.013397	74.1
197	0.060560	158.800000	1.630249	0.007798	73.0
198	0.059881	158.000000	1.637535	0.006783	74.0
199	0.064010	159.000000	1.628438	0.009337	76.5
200	0.058732	160.000000	1.619441	0.020462	76.0
201	0.062706	161.000000	1.610543	0.013664	72.9
202	0.061180	162.000000	1.601742	0.007176	76.4
203	0.061030	161.200000	1.608775	0.017942	73.1
204	0.057428	162.200000	1.599994	0.013208	75.6
205	0.060691	163.200000	1.591307	0.005779	76.4
206	0.059545	162.400000	1.598249	0.014861	74.7
207	0.060910	163.400000	1.589581	0.014102	73.5
208	0.059402	164.400000	1.581008	0.012108	74.6
209	0.058090	165.400000	1.572526	0.012404	74.6
210	0.060161	166.400000	1.564135	0.012969	80.4
211	0.060238	167.400000	1.555832	0.012910	77.5
212	0.060318	168.400000	1.547618	0.011062	76.4
213	0.057972	169.400000	1.539490	0.011935	75.8
214	0.058640	170.400000	1.531446	0.016640	81.4
215	0.062550	171.400000	1.523487	0.013868	74.4
216	0.062282	172.400000	1.515609	0.005371	80.8
217	0.060583	173.400000	1.507813	0.011639	78.8
218	0.061526	174.400000	1.500096	0.024367	75.7
219	0.057180	175.400000	1.492458	0.013654	73.7
220	0.060498	176.400000	1.484898	0.009928	76.7
221	0.057166	175.600000	1.490940	0.006759	73.7
222	0.058321	176.600000	1.483395	0.015796	76.1
223	0.057850	177.600000	1.475926	0.013943	76.3
224	0.057092	178.600000	1.468531	0.013839	73.7
225	0.057521	179.600000	1.461210	0.013668	79.3
226	0.057871	180.600000	1.453962	0.011617	73.3
227	0.062177	181.600000	1.446786	0.013299	77.3
228	0.060605	182.600000	1.439680	0.017743	74.5
229	0.059257	183.600000	1.432643	0.013732	79.1
230	0.058943	184.600000	1.425675	0.006595	75.3
231	0.058713	183.800000	1.431244	0.020917	74.7
232	0.057552	184.800000	1.424290	0.014021	76.8
233	0.057935	185.800000	1.417402	0.013768	77.6
234	0.063868	185.000000	1.422907	0.026345	83.3
235	0.058857	186.000000	1.416033	0.013991	73.6
236	0.060069	187.000000	1.409225	0.008720	75.5
237	0.060210	186.200000	1.414666	0.012640	75.4
238	0.057610	185.400000	1.420149	0.026806	73.5
239	0.059905	186.400000	1.413302	0.014436	72.8
240	0.060033	187.400000	1.406520	0.008387	77.6
241	0.056040	186.600000	1.411940	0.010919	72.4
242	0.054469	185.800000	1.417402	0.012146	76.3
243	0.054843	186.800000	1.410581	0.015394	76.4
244	0.054692	187.800000	1.403826	0.013353	75.5
245	0.054578	188.800000	1.397134	0.016775	73.6
246	0.054707	189.800000	1.390507	0.013915	76.4
247	0.055874	190.800000	1.383942	0.006145	75.3
248	0.054061	190.000000	1.389189	0.014532	72.0
249	0.058115	191.000000	1.382636	0.013850	75.5
250	0.053595	192.000000	1.376145	0.010772	76.5
251	0.053443	193.000000	1.369714	0.013870	73.9
252	0.054228	194.000000	1.363343	0.023167	72.4
253	0.052163	195.000000	1.357032	0.012315	75.8
254	0.056871	196.000000	1.350778	0.009800	75.1
255	0.054038	195.200000	1.355776	0.015128	77.0
256	0.055381	196.200000	1.349534	0.011918	76.3
257	0.055696	197.200000	1.343349	0.018061	75.1
258	0.052516	198.200000	1.337221	0.012982	74.0
259	0.054692	199.200000	1.331148	0.010155	76.5
260	0.053515	198.400000	1.336002	0.027787	79.8
261	0.051894	199.400000	1.329940	0.012957	74.4
262	0.057083	200.400000	1.323933	0.007431	70.9
263	0.053537	199.600000	1.328734	0.010413	75.0
264	0.056954	198.800000	1.333571	0.011823	75.3
265	0.052527	199.800000	1.327531	0.021071	75.4
266	0.056303	200.800000	1.321546	0.012573	85.3
267	0.058069	201.800000	1.315614	0.009444	73.4
268	0.056985	201.000000	1.320355	0.022241	76.3
269	0.055733	202.000000	1.314434	0.013063	77.1
270	0.054267	203.000000	1.308566	0.012491	81.4
271	0.052626	202.200000	1.313256	0.020517	76.4
272	0.052516	203.200000	1.307399	0.012969	76.2
273	0.053062	204.200000	1.301593	0.008332	77.9
274	0.056636	203.400000	1.306234	0.009785	74.7
275	0.054487	204.400000	1.300438	0.008906	73.1
276	0.052863	205.400000	1.294694	0.007736	79.6
277	0.053289	206.400000	1.289001	0.008582	73.7
278	0.052763	207.400000	1.283357	0.012170	76.8
279	0.053750	208.400000	1.277763	0.014112	72.9
280	0.053483	209.400000	1.272217	0.010849	74.6
281	0.052960	210.400000	1.266719	0.017103	74.3
282	0.052915	211.400000	1.261269	0.012487	78.9
283	0.053865	212.400000	1.255865	0.005061	72.1
284	0.053130	211.600000	1.260184	0.008372	78.3
285	0.054695	212.600000	1.254789	0.011612	76.7
286	0.054641	213.600000	1.249441	0.025321	77.8
287	0.054034	214.600000	1.244138	0.012261	71.9
288	0.055695	215.600000	1.238879	0.007855	73.0
